,reply_comment_date,reply_comment_time,reply_comment_text,reply_comment_id,reply_username,reply_user_id,brand,post_date,post_time,post_text,post_id,reply_sentiment,reply_magnitude,reply_entities,reply_entity_salience,post_sentiment,post_magnitude,post_entities_name,post_entity_salience
0,2017-03-07,2017-03-07 00:23:13,Yeah! The 777 is back.... thank goodness !!!! I'll take it as long as it lasts . It was a great way to travel with young kids and back seat entertainment 👍,1581432665220060_1582700998426560,Jill Palombaro,1107902295988536,RDU,2017-03-05,22:33:42,The @americanair B-777 is now year round to #London @heathrow_airport starting today! The plane has seat-back entertainment and #wifi. Help us say thank you #American! #avgeek #rdu #boeing777 #uk #usa,145265145503493_1581432665220060,0.4,1.6,"[way, goodness, kids]","[0.8969871, 0.05828403, 0.025827855]",0.0,0.5,"[@americanair B-777, plane, London]","[0.4260299, 0.11787237, 0.09875901]"
1,2017-03-06,2017-03-07 02:25:36,"Hey Raleigh-Durham International Airport (RDU), here are my photos from today's landing taken on top of the parking garage.  https://www.facebook.com/media/set/?set=a.10155051990144547.1073741934.500029546&type=1&l=5b5f3127e5",1581432665220060_1581593685203958,Christopher Pippen,10155057211954547,RDU,2017-03-05,22:33:42,The @americanair B-777 is now year round to #London @heathrow_airport starting today! The plane has seat-back entertainment and #wifi. Help us say thank you #American! #avgeek #rdu #boeing777 #uk #usa,145265145503493_1581432665220060,0.3,0.7,"[Raleigh-Durham International Airport, photos, parking garage]","[0.41230235, 0.31030223, 0.11079873]",0.0,0.5,"[@americanair B-777, plane, London]","[0.4260299, 0.11787237, 0.09875901]"
2,2017-03-06,2017-03-07 00:17:00,Congratulations RDU!!!,1581432665220060_1581509498545710,Charlotte/Douglas International Airport Overlook,120221124739914,RDU,2017-03-05,22:33:42,The @americanair B-777 is now year round to #London @heathrow_airport starting today! The plane has seat-back entertainment and #wifi. Help us say thank you #American! #avgeek #rdu #boeing777 #uk #usa,145265145503493_1581432665220060,0.3,0.3,[],[],0.0,0.5,"[@americanair B-777, plane, London]","[0.4260299, 0.11787237, 0.09875901]"
3,2017-03-06,2017-03-07 12:22:12,"Almost anything would be better than the one they were flying - actually booked flights for this summer through JFK just to avoid flying on it! Now, if their staff could be trained on how to positively interact with neurodiverse children I would consider flying with them again! 😬",1581432665220060_1581990128497647,Emily Wilkins,10212033720176180,RDU,2017-03-05,22:33:42,The @americanair B-777 is now year round to #London @heathrow_airport starting today! The plane has seat-back entertainment and #wifi. Help us say thank you #American! #avgeek #rdu #boeing777 #uk #usa,145265145503493_1581432665220060,0.0,0.1,"[anything, flights, JFK]","[0.5930372, 0.15719715, 0.10079852]",0.0,0.5,"[@americanair B-777, plane, London]","[0.4260299, 0.11787237, 0.09875901]"
4,2017-03-06,2017-03-07 01:12:45,I have already bought our tickets for non stop to #LHR for April! I can't wait to be in a better plane! Thanks #RDU and #American,1581432665220060_1581545908542069,Burak Eryigit,10155055452526505,RDU,2017-03-05,22:33:42,The @americanair B-777 is now year round to #London @heathrow_airport starting today! The plane has seat-back entertainment and #wifi. Help us say thank you #American! #avgeek #rdu #boeing777 #uk #usa,145265145503493_1581432665220060,0.3,1.1,"[stop, tickets, #LHR]","[0.3853741, 0.3037643, 0.16684672]",0.0,0.5,"[@americanair B-777, plane, London]","[0.4260299, 0.11787237, 0.09875901]"
5,2017-03-05,2017-03-07 23:45:31,"Finally! I've been avoiding the RDU-LHR flight all this time because of the lack of setback entertainment, even if it meant connecting through JFK *shudder*",1581432665220060_1581489528547707,Rich Murray,10155217395928755,RDU,2017-03-05,22:33:42,The @americanair B-777 is now year round to #London @heathrow_airport starting today! The plane has seat-back entertainment and #wifi. Help us say thank you #American! #avgeek #rdu #boeing777 #uk #usa,145265145503493_1581432665220060,0.2,1.0,"[flight, lack, setback entertainment]","[0.3811495, 0.16519473, 0.16519473]",0.0,0.5,"[@americanair B-777, plane, London]","[0.4260299, 0.11787237, 0.09875901]"
6,2017-03-05,2017-03-07 22:57:18,Now all we need is Virgin Atlantic RDU to LHR and my life would be complete!!,1581432665220060_1581451508551509,Caron Beesley,10155389322039341,RDU,2017-03-05,22:33:42,The @americanair B-777 is now year round to #London @heathrow_airport starting today! The plane has seat-back entertainment and #wifi. Help us say thank you #American! #avgeek #rdu #boeing777 #uk #usa,145265145503493_1581432665220060,0.4,0.4,"[RDU, LHR, Virgin Atlantic]","[0.2898346, 0.27284336, 0.26310796]",0.0,0.5,"[@americanair B-777, plane, London]","[0.4260299, 0.11787237, 0.09875901]"
7,2017-03-06,2017-03-07 02:57:12,Thank you America air lines delta air line from RD to France about Germany and Australia dubai  Qatar we want trip from RD U  to around the world again thank you,1581432665220060_1581612748535385,Farid Muti,10211646672699909,RDU,2017-03-05,22:33:42,The @americanair B-777 is now year round to #London @heathrow_airport starting today! The plane has seat-back entertainment and #wifi. Help us say thank you #American! #avgeek #rdu #boeing777 #uk #usa,145265145503493_1581432665220060,0.7,0.7,"[America, air lines, air line]","[0.23241921, 0.18026638, 0.18026638]",0.0,0.5,"[@americanair B-777, plane, London]","[0.4260299, 0.11787237, 0.09875901]"
8,2017-03-06,2017-03-07 00:58:49,I heard AA was going to fly an MD-80 on this route...RDU-LHR😜,1581432665220060_1581537178542942,Robert O Smith,10210899061464140,RDU,2017-03-05,22:33:42,The @americanair B-777 is now year round to #London @heathrow_airport starting today! The plane has seat-back entertainment and #wifi. Help us say thank you #American! #avgeek #rdu #boeing777 #uk #usa,145265145503493_1581432665220060,-0.4,0.4,"[AA, MD-80, route]","[0.6219528, 0.1814238, 0.10029115]",0.0,0.5,"[@americanair B-777, plane, London]","[0.4260299, 0.11787237, 0.09875901]"
9,2017-03-06,2017-03-07 00:41:52,Don't expect the 777 to last with loads as horrible as they are. Average load is 90 people out of 212.,1581432665220060_1581527755210551,Chris Murray,10104808865392122,RDU,2017-03-05,22:33:42,The @americanair B-777 is now year round to #London @heathrow_airport starting today! The plane has seat-back entertainment and #wifi. Help us say thank you #American! #avgeek #rdu #boeing777 #uk #usa,145265145503493_1581432665220060,-0.7,1.4,"[loads, people, load]","[0.8087037, 0.10828369, 0.083012596]",0.0,0.5,"[@americanair B-777, plane, London]","[0.4260299, 0.11787237, 0.09875901]"
