,brand,city_state,frequency,zip_list
96,Austin,"Washington, DC",1,"[20001, 20002, 20003, 20004, 20005, 20006, 20007, 20008, 20009, 20010, 20011, 20012, 20024, 20015, 20016, 20017, 20018, 20019, 20020, 20032, 20036, 20037, 20045, 20052, 20053, 20057, 20064, 20202, 20204, 20228, 20230, 20240, 20245, 20260, 20317, 20319, 20390, 20405, 20418, 20427, 20506, 20510, 20520, 20535, 20540, 20551, 20553, 20560, 20565, 20566, 20593]"
97,Charlotte,"Washington, DC",1,"[20001, 20002, 20003, 20004, 20005, 20006, 20007, 20008, 20009, 20010, 20011, 20012, 20024, 20015, 20016, 20017, 20018, 20019, 20020, 20032, 20036, 20037, 20045, 20052, 20053, 20057, 20064, 20202, 20204, 20228, 20230, 20240, 20245, 20260, 20317, 20319, 20390, 20405, 20418, 20427, 20506, 20510, 20520, 20535, 20540, 20551, 20553, 20560, 20565, 20566, 20593]"
98,RDU,"Washington, DC",1,"[20001, 20002, 20003, 20004, 20005, 20006, 20007, 20008, 20009, 20010, 20011, 20012, 20024, 20015, 20016, 20017, 20018, 20019, 20020, 20032, 20036, 20037, 20045, 20052, 20053, 20057, 20064, 20202, 20204, 20228, 20230, 20240, 20245, 20260, 20317, 20319, 20390, 20405, 20418, 20427, 20506, 20510, 20520, 20535, 20540, 20551, 20553, 20560, 20565, 20566, 20593]"
99,San_Diego,"Washington, DC",1,"[20001, 20002, 20003, 20004, 20005, 20006, 20007, 20008, 20009, 20010, 20011, 20012, 20024, 20015, 20016, 20017, 20018, 20019, 20020, 20032, 20036, 20037, 20045, 20052, 20053, 20057, 20064, 20202, 20204, 20228, 20230, 20240, 20245, 20260, 20317, 20319, 20390, 20405, 20418, 20427, 20506, 20510, 20520, 20535, 20540, 20551, 20553, 20560, 20565, 20566, 20593]"
100,Atlanta,"Wellington, FL",1,[33414]
101,Austin,"Austin, TX",56,"[78741, 78744, 78701, 78702, 78703, 78704, 78705, 78758, 78749, 78754, 78712, 78745, 78746, 78717, 78719, 78759, 78721, 78722, 78723, 78724, 78725, 78726, 78727, 78728, 78729, 78730, 78731, 78732, 78733, 78734, 78735, 78736, 78737, 78738, 78739, 78742, 78747, 78748, 78750, 78751, 78752, 78753, 78756, 78757]"
102,Charlotte,"Austin, TX",1,"[78741, 78744, 78701, 78702, 78703, 78704, 78705, 78758, 78749, 78754, 78712, 78745, 78746, 78717, 78719, 78759, 78721, 78722, 78723, 78724, 78725, 78726, 78727, 78728, 78729, 78730, 78731, 78732, 78733, 78734, 78735, 78736, 78737, 78738, 78739, 78742, 78747, 78748, 78750, 78751, 78752, 78753, 78756, 78757]"
103,Austin,"Boulder, CO",1,"[80301, 80302, 80303, 80304, 80305, 80310, 80503]"
104,Austin,"Buffalo, NY",1,"[14201, 14202, 14203, 14204, 14206, 14207, 14208, 14209, 14210, 14211, 14212, 14213, 14214, 14215, 14216, 14217, 14218, 14219, 14220, 14221, 14222, 14223, 14224, 14225, 14226, 14227, 14228, 14261, 14043]"
105,Nashville,"Buffalo, NY",1,"[14201, 14202, 14203, 14204, 14206, 14207, 14208, 14209, 14210, 14211, 14212, 14213, 14214, 14215, 14216, 14217, 14218, 14219, 14220, 14221, 14222, 14223, 14224, 14225, 14226, 14227, 14228, 14261, 14043]"
106,Austin,"Cedar Creek, TX",2,[78612]
107,Austin,"Cedar Park, TX",1,[78613]
108,Austin,"Cypress, TX",1,"[77429, 77433]"
109,Austin,"Dallas, TX",2,"[75201, 75202, 75203, 75204, 75205, 75206, 75207, 75208, 75209, 75210, 75211, 75212, 75214, 75215, 75216, 75217, 75218, 75219, 75220, 75223, 75224, 75225, 75226, 75227, 75228, 75229, 75230, 75231, 75232, 75233, 75234, 75235, 75236, 75237, 75238, 75240, 75241, 75243, 75244, 75246, 75247, 75248, 75249, 75251, 75252, 75253, 75254, 76051, 75270, 75287, 75063, 75042, 75390]"
110,Charlotte,"Dallas, TX",1,"[75201, 75202, 75203, 75204, 75205, 75206, 75207, 75208, 75209, 75210, 75211, 75212, 75214, 75215, 75216, 75217, 75218, 75219, 75220, 75223, 75224, 75225, 75226, 75227, 75228, 75229, 75230, 75231, 75232, 75233, 75234, 75235, 75236, 75237, 75238, 75240, 75241, 75243, 75244, 75246, 75247, 75248, 75249, 75251, 75252, 75253, 75254, 76051, 75270, 75287, 75063, 75042, 75390]"
111,Indianapolis,"Dallas, TX",1,"[75201, 75202, 75203, 75204, 75205, 75206, 75207, 75208, 75209, 75210, 75211, 75212, 75214, 75215, 75216, 75217, 75218, 75219, 75220, 75223, 75224, 75225, 75226, 75227, 75228, 75229, 75230, 75231, 75232, 75233, 75234, 75235, 75236, 75237, 75238, 75240, 75241, 75243, 75244, 75246, 75247, 75248, 75249, 75251, 75252, 75253, 75254, 76051, 75270, 75287, 75063, 75042, 75390]"
112,Austin,"Driftwood, TX",2,[78619]
113,Austin,"Eagle Pass, TX",1,[78852]
114,Austin,"Georgetown, TX",2,"[78626, 78628, 78633]"
115,Austin,"Kansas City, MO",1,"[64101, 64102, 64105, 64106, 64108, 64109, 64110, 64111, 64112, 64113, 64114, 64116, 64117, 64118, 64119, 64120, 64127, 64123, 64124, 64125, 64126, 64128, 64129, 64130, 64131, 64132, 64133, 64134, 64136, 64137, 64138, 64139, 64161, 64145, 64146, 64147, 64149, 64151, 64152, 64153, 64154, 64155, 64156, 64157, 64158, 64163, 64164, 64165, 64166, 64167, 64150]"
116,Indianapolis,"Kansas City, MO",3,"[64101, 64102, 64105, 64106, 64108, 64109, 64110, 64111, 64112, 64113, 64114, 64116, 64117, 64118, 64119, 64120, 64127, 64123, 64124, 64125, 64126, 64128, 64129, 64130, 64131, 64132, 64133, 64134, 64136, 64137, 64138, 64139, 64161, 64145, 64146, 64147, 64149, 64151, 64152, 64153, 64154, 64155, 64156, 64157, 64158, 64163, 64164, 64165, 64166, 64167, 64150]"
117,Portland,"Kansas City, MO",1,"[64101, 64102, 64105, 64106, 64108, 64109, 64110, 64111, 64112, 64113, 64114, 64116, 64117, 64118, 64119, 64120, 64127, 64123, 64124, 64125, 64126, 64128, 64129, 64130, 64131, 64132, 64133, 64134, 64136, 64137, 64138, 64139, 64161, 64145, 64146, 64147, 64149, 64151, 64152, 64153, 64154, 64155, 64156, 64157, 64158, 64163, 64164, 64165, 64166, 64167, 64150]"
118,Austin,"Kyle, TX",1,[78640]
119,Austin,"Memphis, TN",1,"[38118, 38126, 38103, 38104, 38105, 38106, 38107, 38108, 38109, 38111, 38112, 38114, 38115, 38116, 38117, 38119, 38120, 38122, 38125, 38127, 38128, 38131, 38132, 38133, 38134, 38135, 38141, 38152]"
